imgid,title,genres
114709,Toy Story,Animation|Adventure|Comedy
113497,Jumanji,Action|Adventure|Family
113228,Grumpier Old Men,Comedy|Romance
114885,Waiting to Exhale,Comedy|Drama|Romance
113041,Father of the Bride Part II,Comedy|Family|Romance
113277,Heat,Action|Crime|Drama
114319,Sabrina,Comedy|Drama
114576,Sudden Death,Action|Crime|Thriller
113189,GoldenEye,Action|Adventure|Thriller
112346,The American President,Comedy|Drama|Romance
112896,Dracula: Dead and Loving It,Comedy|Fantasy|Horror
112453,Balto,Animation|Adventure|Drama
113987,Nixon,Biography|Drama|History
112760,Cutthroat Island,Action|Adventure|Comedy
112641,Casino,Crime|Drama
114388,Sense and Sensibility,Drama|Romance
113101,Four Rooms,Comedy
112281,Ace Ventura: When Nature Calls,Adventure|Comedy|Crime
113845,Money Train,Action|Comedy|Crime
113161,Get Shorty,Comedy|Crime|Thriller
112722,Copycat,Crime|Drama|Mystery
112401,Assassins,Action|Crime|Thriller
114168,Powder,Drama|Fantasy|Mystery
113627,Leaving Las Vegas,Drama|Romance
114057,Othello,Drama|Romance
114011,Now and Then,Comedy|Drama|Romance
114117,Persuasion,Drama
112682,The City of Lost Children,Fantasy|Sci-Fi
115012,"Yao a yao, yao dao wai po qiao",Crime|Drama|Romance
112792,Dangerous Minds,Biography|Drama
114746,Twelve Monkeys,Mystery|Sci-Fi|Thriller
114952,Wings of Courage,Adventure|Romance
112431,Babe,Comedy|Drama|Family
112637,Carrington,Biography|Drama|Romance
112818,Dead Man Walking,Crime|Drama
112286,Across the Sea of Time,Adventure|Drama|Family
113442,It Takes Two,Comedy|Family|Romance
112749,"Cry, the Beloved Country",Drama|Thriller
114279,Richard III,Drama|War
112819,Dead Presidents,Action|Crime|Drama
114272,Restoration,Biography|Drama|History
113855,Mortal Kombat,Action|Adventure|Fantasy
114681,To Die For,Comedy|Crime|Drama
114369,Se7en,Crime|Drama|Mystery
114148,Pocahontas,Animation|Adventure|Drama
114916,When Night Is Falling,Drama|Romance
114814,The Usual Suspects,Crime|Drama|Mystery
113819,Mighty Aphrodite,Comedy|Fantasy|Romance
113158,Georgia,Drama|Music
113541,Kids of the Round Table,Adventure|Comedy|Family
113321,Home for the Holidays,Comedy|Drama|Romance
110877,Il Postino: The Postman,Biography|Comedy|Drama
112714,Le confessionnal,Drama|Mystery|Thriller
113419,The Indian in the Cupboard,Drama|Family|Fantasy
116260,Eye for an Eye,Crime|Drama|Thriller
113862,Mr. Holland's Opus,Drama|Music
116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime
118002,Two If by Sea,Comedy|Crime|Romance
115683,Bio-Dome,Comedy
116839,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller
114753,Two Bits,Drama
113149,French Twist,Comedy
113118,Friday,Comedy|Drama
116367,From Dusk Till Dawn,Action|Crime|Horror
113828,Les misí©rables,Drama|History
115644,Bed of Roses,Romance|Drama
115676,Big Bully,Comedy|Thriller
114367,Screamers,Sci-Fi|Thriller
113973,Nico Icon,Documentary|Biography|Music
112744,The Crossing Guard,Drama|Thriller
116731,The Juror,Drama|Thriller
